movie,movieLabel,narrative_location,narrative_locationLabel,coordinates
http://www.wikidata.org/entity/Q65230836,Digimon Adventure: Last Evolution Kizuna,http://www.wikidata.org/entity/Q17,Japan,Point(136.0 35.0)
http://www.wikidata.org/entity/Q65236767,Athlete,http://www.wikidata.org/entity/Q17,Japan,Point(136.0 35.0)
http://www.wikidata.org/entity/Q96385032,Kaiji: Final Game,http://www.wikidata.org/entity/Q17,Japan,Point(136.0 35.0)
http://www.wikidata.org/entity/Q20949834,The Con Is On,http://www.wikidata.org/entity/Q21,England,Point(-1.0 53.0)
http://www.wikidata.org/entity/Q28173325,Jungle,http://www.wikidata.org/entity/Q18,South America,Point(-59.0 -21.0)
http://www.wikidata.org/entity/Q28173325,Jungle,http://www.wikidata.org/entity/Q18,South America,Point(-59.0 -21.0)
http://www.wikidata.org/entity/Q51260526,Triple Frontier,http://www.wikidata.org/entity/Q18,South America,Point(-59.0 -21.0)
http://www.wikidata.org/entity/Q52151339,Bel Canto,http://www.wikidata.org/entity/Q18,South America,Point(-59.0 -21.0)
http://www.wikidata.org/entity/Q56064745,Dora and the Lost City of Gold,http://www.wikidata.org/entity/Q18,South America,Point(-59.0 -21.0)
http://www.wikidata.org/entity/Q56064745,Dora and the Lost City of Gold,http://www.wikidata.org/entity/Q18,South America,Point(-59.0 -21.0)
http://www.wikidata.org/entity/Q56064745,Dora and the Lost City of Gold,http://www.wikidata.org/entity/Q18,South America,Point(-59.0 -21.0)
http://www.wikidata.org/entity/Q73536096,Nomad: In the Footsteps of Bruce Chatwin,http://www.wikidata.org/entity/Q18,South America,Point(-59.0 -21.0)
http://www.wikidata.org/entity/Q24579372,Nae Pasaran,http://www.wikidata.org/entity/Q22,Scotland,Point(-5.0 57.0)
http://www.wikidata.org/entity/Q29514859,The Vanishing,http://www.wikidata.org/entity/Q22,Scotland,Point(-5.0 57.0)
http://www.wikidata.org/entity/Q29514859,The Vanishing,http://www.wikidata.org/entity/Q22,Scotland,Point(-5.0 57.0)
http://www.wikidata.org/entity/Q29639390,The Black Gloves,http://www.wikidata.org/entity/Q22,Scotland,Point(-5.0 57.0)
http://www.wikidata.org/entity/Q30131445,Calibre,http://www.wikidata.org/entity/Q22,Scotland,Point(-5.0 57.0)
http://www.wikidata.org/entity/Q37325918,Tell It to the Bees,http://www.wikidata.org/entity/Q22,Scotland,Point(-5.0 57.0)
http://www.wikidata.org/entity/Q37325918,Tell It to the Bees,http://www.wikidata.org/entity/Q22,Scotland,Point(-5.0 57.0)
http://www.wikidata.org/entity/Q37325918,Tell It to the Bees,http://www.wikidata.org/entity/Q22,Scotland,Point(-5.0 57.0)
http://www.wikidata.org/entity/Q37909408,Mary Queen of Scots,http://www.wikidata.org/entity/Q22,Scotland,Point(-5.0 57.0)
http://www.wikidata.org/entity/Q37909408,Mary Queen of Scots,http://www.wikidata.org/entity/Q22,Scotland,Point(-5.0 57.0)
http://www.wikidata.org/entity/Q37909408,Mary Queen of Scots,http://www.wikidata.org/entity/Q22,Scotland,Point(-5.0 57.0)
http://www.wikidata.org/entity/Q37909408,Mary Queen of Scots,http://www.wikidata.org/entity/Q22,Scotland,Point(-5.0 57.0)
http://www.wikidata.org/entity/Q38463058,Outlaw King,http://www.wikidata.org/entity/Q22,Scotland,Point(-5.0 57.0)
http://www.wikidata.org/entity/Q38463058,Outlaw King,http://www.wikidata.org/entity/Q22,Scotland,Point(-5.0 57.0)
http://www.wikidata.org/entity/Q48313910,The Party's Just Beginning,http://www.wikidata.org/entity/Q22,Scotland,Point(-5.0 57.0)
http://www.wikidata.org/entity/Q55610511,Edie,http://www.wikidata.org/entity/Q22,Scotland,Point(-5.0 57.0)
http://www.wikidata.org/entity/Q55610511,Edie,http://www.wikidata.org/entity/Q22,Scotland,Point(-5.0 57.0)
http://www.wikidata.org/entity/Q57241193,Malevolent,http://www.wikidata.org/entity/Q22,Scotland,Point(-5.0 57.0)
http://www.wikidata.org/entity/Q63160297,Wild Rose,http://www.wikidata.org/entity/Q22,Scotland,Point(-5.0 57.0)
http://www.wikidata.org/entity/Q63160297,Wild Rose,http://www.wikidata.org/entity/Q22,Scotland,Point(-5.0 57.0)
http://www.wikidata.org/entity/Q63255762,Get Duked!,http://www.wikidata.org/entity/Q22,Scotland,Point(-5.0 57.0)
http://www.wikidata.org/entity/Q64747414,Robert the Bruce,http://www.wikidata.org/entity/Q22,Scotland,Point(-5.0 57.0)
http://www.wikidata.org/entity/Q20814480,Closet Monster,http://www.wikidata.org/entity/Q16,Canada,Point(-109.0 56.0)
http://www.wikidata.org/entity/Q20814480,Closet Monster,http://www.wikidata.org/entity/Q16,Canada,Point(-109.0 56.0)
http://www.wikidata.org/entity/Q25431158,Deadpool 2,http://www.wikidata.org/entity/Q16,Canada,Point(-109.0 56.0)
http://www.wikidata.org/entity/Q25431158,Deadpool 2,http://www.wikidata.org/entity/Q16,Canada,Point(-109.0 56.0)
http://www.wikidata.org/entity/Q25431158,Deadpool 2,http://www.wikidata.org/entity/Q16,Canada,Point(-109.0 56.0)
http://www.wikidata.org/entity/Q25431158,Deadpool 2,http://www.wikidata.org/entity/Q16,Canada,Point(-109.0 56.0)
http://www.wikidata.org/entity/Q28170369,Tremors: A Cold Day in Hell,http://www.wikidata.org/entity/Q16,Canada,Point(-109.0 56.0)
http://www.wikidata.org/entity/Q48672827,Radius,http://www.wikidata.org/entity/Q16,Canada,Point(-109.0 56.0)
http://www.wikidata.org/entity/Q48672827,Radius,http://www.wikidata.org/entity/Q16,Canada,Point(-109.0 56.0)
http://www.wikidata.org/entity/Q48674540,The Lie,http://www.wikidata.org/entity/Q16,Canada,Point(-109.0 56.0)
http://www.wikidata.org/entity/Q56276392,Aate Di Chidi,http://www.wikidata.org/entity/Q16,Canada,Point(-109.0 56.0)
http://www.wikidata.org/entity/Q57982258,The Call of the Wild,http://www.wikidata.org/entity/Q16,Canada,Point(-109.0 56.0)
http://www.wikidata.org/entity/Q57982258,The Call of the Wild,http://www.wikidata.org/entity/Q16,Canada,Point(-109.0 56.0)
http://www.wikidata.org/entity/Q65065189,Ardaas Karaan,http://www.wikidata.org/entity/Q16,Canada,Point(-109.0 56.0)
http://www.wikidata.org/entity/Q29454857,Apostle,http://www.wikidata.org/entity/Q25,Wales,Point(-3.633333333 52.35)
http://www.wikidata.org/entity/Q30004939,Maze,http://www.wikidata.org/entity/Q26,Northern Ireland,Point(-6.75 54.683333333)
http://www.wikidata.org/entity/Q60737736,You Should Have Left,http://www.wikidata.org/entity/Q25,Wales,Point(-3.633333333 52.35)
http://www.wikidata.org/entity/Q65082920,Gwen,http://www.wikidata.org/entity/Q25,Wales,Point(-3.633333333 52.35)
http://www.wikidata.org/entity/Q55613938,Hope Gap,http://www.wikidata.org/entity/Q21,England,Point(-1.0 53.0)
http://www.wikidata.org/entity/Q55613938,Hope Gap,http://www.wikidata.org/entity/Q21,England,Point(-1.0 53.0)
http://www.wikidata.org/entity/Q55613938,Hope Gap,http://www.wikidata.org/entity/Q21,England,Point(-1.0 53.0)
http://www.wikidata.org/entity/Q55641448,Pin Cushion,http://www.wikidata.org/entity/Q21,England,Point(-1.0 53.0)
http://www.wikidata.org/entity/Q56277622,Farmageddon: A Shaun the Sheep Movie,http://www.wikidata.org/entity/Q21,England,Point(-1.0 53.0)
http://www.wikidata.org/entity/Q56277622,Farmageddon: A Shaun the Sheep Movie,http://www.wikidata.org/entity/Q21,England,Point(-1.0 53.0)
http://www.wikidata.org/entity/Q56277622,Farmageddon: A Shaun the Sheep Movie,http://www.wikidata.org/entity/Q21,England,Point(-1.0 53.0)
http://www.wikidata.org/entity/Q56277622,Farmageddon: A Shaun the Sheep Movie,http://www.wikidata.org/entity/Q21,England,Point(-1.0 53.0)
http://www.wikidata.org/entity/Q56277622,Farmageddon: A Shaun the Sheep Movie,http://www.wikidata.org/entity/Q21,England,Point(-1.0 53.0)
http://www.wikidata.org/entity/Q56277622,Farmageddon: A Shaun the Sheep Movie,http://www.wikidata.org/entity/Q21,England,Point(-1.0 53.0)
http://www.wikidata.org/entity/Q56395606,In Fabric,http://www.wikidata.org/entity/Q21,England,Point(-1.0 53.0)
http://www.wikidata.org/entity/Q58701890,Cats,http://www.wikidata.org/entity/Q21,England,Point(-1.0 53.0)
http://www.wikidata.org/entity/Q58701890,Cats,http://www.wikidata.org/entity/Q21,England,Point(-1.0 53.0)
http://www.wikidata.org/entity/Q58701890,Cats,http://www.wikidata.org/entity/Q21,England,Point(-1.0 53.0)
http://www.wikidata.org/entity/Q58701890,Cats,http://www.wikidata.org/entity/Q21,England,Point(-1.0 53.0)
http://www.wikidata.org/entity/Q60737520,The Nest,http://www.wikidata.org/entity/Q21,England,Point(-1.0 53.0)
http://www.wikidata.org/entity/Q60738106,Strangeways Here We Come,http://www.wikidata.org/entity/Q21,England,Point(-1.0 53.0)
http://www.wikidata.org/entity/Q60738658,Blinded by the Light,http://www.wikidata.org/entity/Q21,England,Point(-1.0 53.0)
http://www.wikidata.org/entity/Q60738658,Blinded by the Light,http://www.wikidata.org/entity/Q21,England,Point(-1.0 53.0)
http://www.wikidata.org/entity/Q60738658,Blinded by the Light,http://www.wikidata.org/entity/Q21,England,Point(-1.0 53.0)
http://www.wikidata.org/entity/Q60738658,Blinded by the Light,http://www.wikidata.org/entity/Q21,England,Point(-1.0 53.0)
http://www.wikidata.org/entity/Q60770971,The Queen and I,http://www.wikidata.org/entity/Q21,England,Point(-1.0 53.0)
http://www.wikidata.org/entity/Q60836025,Ammonite,http://www.wikidata.org/entity/Q21,England,Point(-1.0 53.0)
http://www.wikidata.org/entity/Q61450786,Judy and Punch,http://www.wikidata.org/entity/Q21,England,Point(-1.0 53.0)
http://www.wikidata.org/entity/Q61450786,Judy and Punch,http://www.wikidata.org/entity/Q21,England,Point(-1.0 53.0)
http://www.wikidata.org/entity/Q61450786,Judy and Punch,http://www.wikidata.org/entity/Q21,England,Point(-1.0 53.0)
http://www.wikidata.org/entity/Q61664894,Brahms: The Boy II,http://www.wikidata.org/entity/Q21,England,Point(-1.0 53.0)
http://www.wikidata.org/entity/Q61664894,Brahms: The Boy II,http://www.wikidata.org/entity/Q21,England,Point(-1.0 53.0)
http://www.wikidata.org/entity/Q61664894,Brahms: The Boy II,http://www.wikidata.org/entity/Q21,England,Point(-1.0 53.0)
http://www.wikidata.org/entity/Q61664894,Brahms: The Boy II,http://www.wikidata.org/entity/Q21,England,Point(-1.0 53.0)
http://www.wikidata.org/entity/Q61664894,Brahms: The Boy II,http://www.wikidata.org/entity/Q21,England,Point(-1.0 53.0)
http://www.wikidata.org/entity/Q61664947,Lancaster Skies,http://www.wikidata.org/entity/Q21,England,Point(-1.0 53.0)
http://www.wikidata.org/entity/Q64008976,Q64008976,http://www.wikidata.org/entity/Q21,England,Point(-1.0 53.0)
http://www.wikidata.org/entity/Q64008976,Q64008976,http://www.wikidata.org/entity/Q21,England,Point(-1.0 53.0)
http://www.wikidata.org/entity/Q65091224,Emma.,http://www.wikidata.org/entity/Q21,England,Point(-1.0 53.0)
http://www.wikidata.org/entity/Q65091224,Emma.,http://www.wikidata.org/entity/Q21,England,Point(-1.0 53.0)
http://www.wikidata.org/entity/Q65091224,Emma.,http://www.wikidata.org/entity/Q21,England,Point(-1.0 53.0)
